net,length_um
net4,49.72
net1,49.22
_02_,48.795
net2,46.02
net6,45.97
net3,44.34
net5,42.7
net7,40.24
_04_,34.3
_06_,28.82
_05_,27.87
_00_,22.04
net10,21.78
net11,21.7
net8,18.68
_08_,18.52
_01_,18.14
net13,14.68
in[7],12.79
net14,11.96
out[0],11.89
_07_,11.28
in[0],11.07
out[7],10.61
_03_,8.98
_09_,8.6
net9,8.14
net15,7.94
in[2],6.91
out[6],6.69
in[1],6.33
in[5],6.31
in[3],5.97
net16,5.78
out[5],5.29
net12,5.22
in[4],4.95
in[6],4.61
out[3],4.27
out[1],3.93
out[2],3.93
out[4],3.93
