net,length_um
net14,19.04
net12,17.5
net2,17.38
net1,17.16
net11,14.86
net6,13.28
net8,11.9
net3,11.44
net4,11.44
net7,11.44
net9,11.44
net5,10.98
net10,10.98
net13,10.3
