net,length_um
net5,54.18
net2,50.92
_08_,50.16
net4,41.74
_06_,37.74
_07_,35.8
clk,34.09
net3,32.44
_05_,30.72
net1,25.74
_04_,20.12
clknet_0_clk,18.44
clknet_1_0__leaf_clk,16.48
_03_,16.22
clknet_1_1__leaf_clk,16.06
_02_,15.96
rst,10.44
count[3],7.55
_00_,6.3
count[0],5.51
count[1],4.83
count[2],4.83
_01_,2.62
